f_target,seed,beta,seed_fraction,unserved_fraction,detonated,run_id
0.5,1053,0.3,0.05,0.07181467181467183,True,dfa72ed2
0.5,1054,0.3,0.05,1.0,True,6e8c78a6
0.5,1055,0.3,0.05,1.0,True,c054db2f
0.5,1056,0.3,0.05,1.0,True,9b1254c8
0.5,1057,0.3,0.05,1.0,True,2b91f7c8
0.5,1058,0.3,0.05,0.8065637065637066,True,ea415aec
0.5,1059,0.3,0.05,1.0,True,77eb50c2
0.6,1000,0.3,0.05,1.0,True,5f84824c
0.6,1001,0.3,0.05,0.43552123552123545,True,ccd57b41
0.6,1002,0.3,0.05,1.0,True,1de2c3e3
0.6,1003,0.3,0.05,0.505019305019305,True,0c7451c6
0.6,1004,0.3,0.05,0.4528957528957529,True,56102ee9
0.6,1005,0.3,0.05,0.7544401544401544,True,55eb6c39
0.6,1006,0.3,0.05,1.0,True,971fbd42
0.6,1007,0.3,0.05,1.0,True,cd407a88
0.6,1008,0.3,0.05,0.505019305019305,True,f1314a9a
0.6,1009,0.3,0.05,1.0,True,c69f327e
0.6,1010,0.3,0.05,0.7544401544401544,True,cb2763f4
0.6,1011,0.3,0.05,0.07181467181467183,True,46b09873
0.6,1012,0.3,0.05,0.4876447876447877,True,2de4963c
0.6,1013,0.3,0.05,1.0,True,d65ed71b
0.6,1014,0.3,0.05,1.0,True,014eb9b5
0.6,1015,0.3,0.05,1.0,True,976729c5
0.6,1016,0.3,0.05,1.0,True,ef6e6c6d
0.6,1017,0.3,0.05,0.505019305019305,True,b061940c
0.6,1018,0.3,0.05,0.43552123552123545,True,d4a48d2a
0.6,1019,0.3,0.05,1.0,True,65c35a7c
0.6,1020,0.3,0.05,1.0,True,f7304945
0.6,1021,0.3,0.05,0.505019305019305,True,d1debb26
0.6,1022,0.3,0.05,1.0,True,ddf30c31
0.6,1023,0.3,0.05,0.7544401544401544,True,f60b3f51
0.6,1024,0.3,0.05,1.0,True,adc7f0f9
0.6,1025,0.3,0.05,1.0,True,c01852cb
0.6,1026,0.3,0.05,1.0,True,c4ec6e49
0.6,1027,0.3,0.05,1.0,True,8a20b0c5
0.6,1028,0.3,0.05,0.8301158301158301,True,1559239f
0.6,1029,0.3,0.05,1.0,True,4dc2d7c4
0.6,1030,0.3,0.05,1.0,True,afc62d3e
0.6,1031,0.3,0.05,0.4528957528957529,True,4914e6b6
0.6,1032,0.3,0.05,0.43552123552123545,True,8a9898df
0.6,1033,0.3,0.05,0.8200772200772201,True,1ba654c0
0.6,1034,0.3,0.05,1.0,True,9bf80d14
0.6,1035,0.3,0.05,1.0,True,91f0377f
0.6,1036,0.3,0.05,0.8200772200772201,True,96777242
0.6,1037,0.3,0.05,1.0,True,3655790b
0.6,1038,0.3,0.05,1.0,True,6db1b7dd
0.6,1039,0.3,0.05,0.8200772200772201,True,9ece8c13
0.6,1040,0.3,0.05,0.43552123552123545,True,e7e587ef
0.6,1041,0.3,0.05,0.7544401544401544,True,418f6728
0.6,1042,0.3,0.05,1.0,True,235d837e
0.6,1043,0.3,0.05,1.0,True,4dc5989c
0.6,1044,0.3,0.05,0.43552123552123545,True,193ca190
0.6,1045,0.3,0.05,1.0,True,b482d748
0.6,1046,0.3,0.05,0.7544401544401544,True,004d57cc
